TrialNames,Indiv,Trial,Speed,Amps,Angs,Freq,Position,Condition,Species,DaysPostAmp,SL,AmpsMax,NumPeaksOld,NumPeaks
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.670469196,0.010679262,1.202450105,5.060240964,100,Regen,Bspot,76,0.092748239,0.049995328,1.927710843,2.084337349
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.046438091,18.1589365,2.647058824,0,Regen,Bspot,76,0.08700937,0.054812114,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.032197016,6.222559096,2.205882353,5,Regen,Bspot,76,0.08700937,0.042872314,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.025037913,6.039692045,2.205882353,10,Regen,Bspot,76,0.08700937,0.034177916,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.017798157,3.962626599,2.205882353,15,Regen,Bspot,76,0.08700937,0.026839721,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.012171152,2.269437928,2.647058824,20,Regen,Bspot,76,0.08700937,0.020189967,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.008551909,1.392980558,2.205882353,25,Regen,Bspot,76,0.08700937,0.01453789,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.007892198,1.012586869,2.647058824,30,Regen,Bspot,76,0.08700937,0.012473019,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.00667438,0.712129236,3.970588235,35,Regen,Bspot,76,0.08700937,0.01128142,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.006041988,0.670862769,3.529411765,40,Regen,Bspot,76,0.08700937,0.014757321,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.007306919,0.674395154,3.529411765,45,Regen,Bspot,76,0.08700937,0.014293213,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.008345331,0.687198497,3.529411765,50,Regen,Bspot,76,0.08700937,0.014004038,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.008671407,0.83969841,3.529411765,55,Regen,Bspot,76,0.08700937,0.018291811,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.010145968,0.765774247,3.088235294,60,Regen,Bspot,76,0.08700937,0.020804376,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.01132924,0.887676295,3.088235294,65,Regen,Bspot,76,0.08700937,0.021511858,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.011323726,0.847902834,2.647058824,70,Regen,Bspot,76,0.08700937,0.020843516,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.01049472,0.728656433,2.205882353,75,Regen,Bspot,76,0.08700937,0.016865193,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.007282259,0.555739957,2.205882353,80,Regen,Bspot,76,0.08700937,0.013059387,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.004389328,0.494622389,2.205882353,85,Regen,Bspot,76,0.08700937,0.009401621,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.006404009,0.305472821,1.764705882,90,Regen,Bspot,76,0.08700937,0.006810617,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.005061469,0.342139757,2.647058824,95,Regen,Bspot,76,0.08700937,0.01188382,1.691176471,1.786764706
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.34547838,0.00865038,0.478291901,2.647058824,100,Regen,Bspot,76,0.08700937,0.01381274,1.691176471,1.786764706
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.018412937,3.541360004,1.24137931,0,Regen,Bspot,136,0.043824238,0.035413181,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.014208455,2.714151886,1.820689655,5,Regen,Bspot,136,0.043824238,0.033304593,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.010825253,1.922446651,1.903448276,10,Regen,Bspot,136,0.043824238,0.026022311,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.009368626,1.568082288,2.068965517,15,Regen,Bspot,136,0.043824238,0.024583725,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.009785691,1.384915456,2.151724138,20,Regen,Bspot,136,0.043824238,0.022371777,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.00851799,1.200836502,1.986206897,25,Regen,Bspot,136,0.043824238,0.023066499,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.00684145,0.973958087,2.4,30,Regen,Bspot,136,0.043824238,0.02918799,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.007226953,0.837963146,1.986206897,35,Regen,Bspot,136,0.043824238,0.028478145,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.006752713,0.723677654,1.986206897,40,Regen,Bspot,136,0.043824238,0.025900919,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.008238861,0.625523832,1.903448276,45,Regen,Bspot,136,0.043824238,0.022428338,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.007756175,0.599307426,1.572413793,50,Regen,Bspot,136,0.043824238,0.021020976,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.007523982,0.489975439,1.324137931,55,Regen,Bspot,136,0.043824238,0.016201934,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.007587763,0.412196274,1.324137931,60,Regen,Bspot,136,0.043824238,0.015390568,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.0083439,0.53955408,1.24137931,65,Regen,Bspot,136,0.043824238,0.024707553,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.010494285,0.523150404,0.993103448,70,Regen,Bspot,136,0.043824238,0.025860469,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.010846618,0.807889336,0.910344828,75,Regen,Bspot,136,0.043824238,0.024717179,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.01158756,0.715757254,0.744827586,80,Regen,Bspot,136,0.043824238,0.0277973,0.831724138,1.07862069
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.105178172,0.010933395,0.766624277,0.993103448,85,Regen,Bspot,136,0.043824238,0.032248901,0.831724138,1.07862069
