TrialNames,Indiv,Trial,Slope,Int,Position,Condition,Species
Bspot2018_006_GoPro_T20_1998-278_000001,Bspot2018_006,T20_,0.114433851,0.009571171,pelv,Regen,Bspot
Bspot2018_006_GoPro_T22_1441-431_000000,Bspot2018_006,T22_,0.088567073,0.016869919,pelv,Regen,Bspot
Bspot2018_006_GoPro_T23_1665-757_000000,Bspot2018_006,T23_,0.146114051,-0.120229277,pelv,Regen,Bspot
Bspot2018_006_GoPro_T50_4563-1792,Bspot2018_006,T50_,0.264561223,-0.334222525,pelv,Regen,Bspot
Bspot2018_006_GoPro_T52_2284-593,Bspot2018_006,T52_,0.233550762,-0.277350139,pelv,Regen,Bspot
Bspot2018_006_GoPro_T55_1395-320,Bspot2018_006,T55_,0.264085843,-0.295489029,pelv,Regen,Bspot
Bspot2018_006_GoPro_T56_1084-387,Bspot2018_006,T56_,0.217253289,0.010904605,pelv,Regen,Bspot
Bspot2018_006_GoPro_T57_1752-751_1,Bspot2018_006,T57_,0.229733497,-0.066912669,pelv,Regen,Bspot
Bspot2018_006_GoPro_T59_3303-251,Bspot2018_006,T59_,0.36193348,-0.43705348,pelv,Regen,Bspot
Bspot2018_006_GoPro_T63_1572-368,Bspot2018_006,T63_,0.13442029,-0.06763285,pelv,Regen,Bspot
Bspot2018_006_GoPro_T64_1724-788,Bspot2018_006,T64_,0.104596266,-0.005104698,pelv,Regen,Bspot
Bspot2018_006_GoPro_T74_1388-902_000000,Bspot2018_006,T74_,0.085006803,0.068746032,pelv,Regen,Bspot
Bspot2018_006_GoPro_T75_1395-615_000000,Bspot2018_006,T75_,0.193772894,-0.058974359,pelv,Regen,Bspot
Bspot2018_006_GoPro_T76_1904-473_000000,Bspot2018_006,T76_,0.170949054,-0.203677133,pelv,Regen,Bspot
Bspot2018_006_GoPro_T77_2382-908_000000,Bspot2018_006,T77_,0.271708861,-0.008386076,pelv,Regen,Bspot
Bspot2018_006_GoPro_T80_4421-3847_000000,Bspot2018_006,T80_,0.1889424,0.258335025,pelv,Regen,Bspot
Bspot2018_006_GoPro_T85a_3770-2520,Bspot2018_006,T85a,0.273074095,0.106361464,pelv,Regen,Bspot
Bspot2018_006_GoPro_T85b_1158-329,Bspot2018_006,T85b,0.058756166,0.143875969,pelv,Regen,Bspot
Bspot2018_006_GoPro_T87_1829-729,Bspot2018_006,T87_,0.183822195,0.062576779,pelv,Regen,Bspot
Bspot2018_006_GoPro_T88a_4227-2994,Bspot2018_006,T88a,0.177476538,-0.005596107,pelv,Regen,Bspot
Bspot2018_006_GoPro_T88b_2132-901,Bspot2018_006,T88b,0.118747499,0.050720288,pelv,Regen,Bspot
Bspot2018_009_GoPro_T19_1500-394_000000,Bspot2018_009,T19_,0.052942857,0.098033333,pelv,Regen,Bspot
Bspot2018_009_GoPro_T21_1026-0_000000,Bspot2018_009,T21_,0.089526099,0.002411477,pelv,Regen,Bspot
Bspot2018_009_GoPro_T53_1410-352,Bspot2018_009,T53_,0.149925742,-0.224343936,pelv,Regen,Bspot
